"","year","iso3c","sector","co2e_emissions"
"481",2017,"AFG","Power Industry",3.64710195038592
"482",2017,"AFG","Buildings",0.71492768641094
"483",2017,"AFG","Transport",2.44208822442338
"484",2017,"AFG","Other industrial combustion",1.5215904285038
"485",2017,"AFG","Other sectors",21.0007697390365
"486",2018,"AFG","Power Industry",3.75188132466452
"487",2018,"AFG","Buildings",0.73098240139468
"488",2018,"AFG","Transport",2.51255803188191
"489",2018,"AFG","Other industrial combustion",1.5570364853712
"490",2018,"AFG","Other sectors",20.7532172603733
"491",1970,"AGO","Power Industry",0.1379666357
"492",1970,"AGO","Buildings",0.8271265172
"493",1970,"AGO","Transport",1.03394938149
"494",1970,"AGO","Other industrial combustion",0.343347499
"495",1970,"AGO","Other sectors",16.6430471999942
"496",1971,"AGO","Power Industry",0.1379666357
"497",1971,"AGO","Buildings",0.8271265172
"498",1971,"AGO","Transport",1.033910045788
"499",1971,"AGO","Other industrial combustion",0.343347499
"500",1971,"AGO","Other sectors",16.5124309278232
"501",1972,"AGO","Power Industry",0.1597789662
"502",1972,"AGO","Buildings",0.8493762764
"503",1972,"AGO","Transport",1.729095165556
"504",1972,"AGO","Other industrial combustion",0.4021789374
"505",1972,"AGO","Other sectors",18.291247685375
"506",1973,"AGO","Power Industry",0.1692699044
"507",1973,"AGO","Buildings",0.8575374924
"508",1973,"AGO","Transport",1.459267649592
"509",1973,"AGO","Other industrial combustion",0.451813307
"510",1973,"AGO","Other sectors",20.0444553664334
"511",1974,"AGO","Power Industry",0.373013584006
"512",1974,"AGO","Buildings",0.854580296
"513",1974,"AGO","Transport",1.312147762134
"514",1974,"AGO","Other industrial combustion",0.4615174736
"515",1974,"AGO","Other sectors",20.6520045208396
"516",1975,"AGO","Power Industry",0.354052793796
"517",1975,"AGO","Buildings",0.8479538088
"518",1975,"AGO","Transport",1.10556272726
"519",1975,"AGO","Other industrial combustion",0.3990996932
"520",1975,"AGO","Other sectors",19.810798964037
"521",1976,"AGO","Power Industry",0.347668007596
"522",1976,"AGO","Buildings",0.8351510848
"523",1976,"AGO","Transport",1.114590847364
"524",1976,"AGO","Other industrial combustion",0.4041633394
"525",1976,"AGO","Other sectors",15.902438509734
"526",1977,"AGO","Power Industry",0.347668007596
"527",1977,"AGO","Buildings",0.8538230076
"528",1977,"AGO","Transport",0.655557123401
"529",1977,"AGO","Other industrial combustion",0.4242931118
"530",1977,"AGO","Other sectors",21.0191856433392
"531",1978,"AGO","Power Industry",0.347667707596
"532",1978,"AGO","Buildings",1.1002699788
"533",1978,"AGO","Transport",1.343658874968
"534",1978,"AGO","Other industrial combustion",0.5798446472
"535",1978,"AGO","Other sectors",22.0826334568922
"536",1979,"AGO","Power Industry",0.388203292196
"537",1979,"AGO","Buildings",1.343912826
"538",1979,"AGO","Transport",1.064038616242
"539",1979,"AGO","Other industrial combustion",0.5540927364
"540",1979,"AGO","Other sectors",22.621600049899
"541",1980,"AGO","Power Industry",0.401047106296
"542",1980,"AGO","Buildings",1.4999590052
"543",1980,"AGO","Transport",1.005304244676
"544",1980,"AGO","Other industrial combustion",0.5781561752
"545",1980,"AGO","Other sectors",22.9567270312492
"546",1981,"AGO","Power Industry",0.401047106296
"547",1981,"AGO","Buildings",1.4769865024
"548",1981,"AGO","Transport",0.8802097136166
"549",1981,"AGO","Other industrial combustion",0.6034332156
"550",1981,"AGO","Other sectors",21.704079580364
"551",1982,"AGO","Power Industry",0.4232866296
"552",1982,"AGO","Buildings",1.2078685684
"553",1982,"AGO","Transport",0.864179126375
"554",1982,"AGO","Other industrial combustion",0.5520634536
